1.Name of text: TaleOfTwoCities_clean.txt
  Total Non-blank Character Count: 616151
  Total Blank Character Count: 123425
  Total Character Count: 739576
  Percentage Blank Character: 16.69% 
  Total Word Count: 135597
  Word/Count Dictionary: 
  Shave : 1
  him-- : 1
  Barber : 1
  droll : 3
  complain : 1
  mount : 3
  Sixty-three : 1
  inquisitively : 2
  shop-door : 1
  Spy : 11
  reappear : 1
  prowl : 1
  vagabond : 1
  coat; : 1
  flush : 2
  World : 1
  old) : 1
  preparings : 1
  smoothings : 1
  yes; : 1
  Twenty : 1
  Responding : 1
  you:--Does : 1
  Carton; : 1
  curses; : 1
  by' : 1
  regard; : 1
  creature; : 1
  'I : 11
  for; : 1
  Wouldn't : 2
  seventy-eight : 3
  respected : 1
  occupied; : 1
  life; : 1
  seventy-eighth : 1
  wistfully : 1
  quitted : 2
  prisoners' : 2
  Taking : 1
  embers : 3
  untrimmed : 1
  surfaces : 1
  top-boots : 1
  logs : 1
  flaming : 2
  which) : 1
  sob : 1
  sigh--almost : 1
  grieving : 2
  Anxious : 1
  contrived : 1
  unprepared : 1
  overborne : 1
  weakened : 1
  disappointment : 2
  obviously : 1
  ensured : 1
  action--not : 1
  repent : 1
  kep' : 1
  entreatin' : 1
  havin' : 1
  porterage : 1
  plentiful : 1
  Subjects : 1
  goin' : 1
  peroration : 1
  wiping : 1
  keepin' : 1
  futur' : 1
  respectin' : 2
  conwictions : 1
  so--by : 1
  undug--if : 1
  diggin' : 2
  reg'lar : 1
  sir--and : 1
  father--do : 1
  mother; : 1
  prewaricate : 1
  general-light-job : 1
  is--wot : 1
  practice--which : 1
  _not_ : 1
  prevaricate : 1
  shocked : 1
  Ugh : 1
  in--even : 1
  He'd : 1
  awaricious : 1
  (all : 1
  sextons : 1
  t'other : 1
  rightly : 1
  floppings : 1
  flop--catch : 1
  doctors' : 1
  Whereas : 2
  ruinating : 1
  ruinating--stark : 1
  floppin' : 1
  leastways : 1
  here's : 1
  gander : 1
  goose : 1
  sarse : 1
  imposing : 1
  'ud : 1
  carriages--ah : 1
  sly : 1
  cocking : 1
  quarter--a : 1
  fardens : 1
  fardens--half : 1
  fardens--fardens : 1
  doctors : 1
  There'd : 1
  so--I : 1
  wos : 10
  harming : 2
  jobbing : 1
  abashed : 1
  befriend : 1
  misgives : 1
  Agicultooral : 1
  replying : 2
  patron : 1
  cogitation : 1
  infirmity : 1
  attention; : 1
  questionable : 3
  finger-nails : 1
  inspire : 1
  mistrust : 1
  Game : 1
  solely : 1
  rising: : 1
  refusal : 1
  proposal; : 1
  overstay : 1
  decision : 1
  liberality--I'd : 1
  parade : 1
  restrained : 1
  more--Mr : 1
  sham : 2
  ferreted : 1
  ducked : 1
  risk : 2
  outrageous : 1
  unpopular : 1
  card--a : 1
  outlive : 1
  Suspicion : 1
  Impossible : 1
  Humph : 1
  offer; : 1
  liberal : 1
  guinea; : 1
  explainin' : 1
  ill-conwenient : 1
  evasively : 1
  choke : 3
  impositions : 1
  grudge : 1
  Ecod : 1
  Me : 1
  paving-stones : 1
  unspeakable : 2
  stammered : 1
  iron-bound : 1
  taciturn : 1
  bailiff : 1
  Unseen : 1
  Jack : 1
  horn : 1
  crumpled : 1
  Cow : 1
  elongate : 1
  forgery : 2
  burial : 1
  Cly's : 1
  certificate : 4
  unfounded : 1
  reasonable : 2
  stiffening : 1
  source : 1
  Tracing : 1
  goblin : 1
  blackguard : 1
  unpopularity : 1
  Pancras-in-the-Fields : 1
  illness : 1
  mine) : 1
  unreservedly : 1
  hasty : 1
  Disguised : 1
  Foreign : 1
  Provincial : 1
  Spoke : 1
  Can't-be : 1
  fortunately : 1
  idling : 1
  retrospectively : 1
  It-can't-be : 1
  important--No : 1
  way--though : 1
  spy; : 1
  musing : 2
  prisons; : 1
  pasturing : 1
  fellow-Sheep : 1
  enumerated : 1
  he--that : 1
  honester : 1
  Carton--who : 1
  inscrutability : 1
  ostentatiously : 1
  dissonance : 1
  relieving : 1
  testify : 1
  sister-- : 1
  discussion : 1
  hook : 1
  demean : 1
  somebody; : 1
  station--though : 1
  discreditable : 1
  junior : 1
  benevolence : 1
  meanest : 1
  livid : 1
  quash : 1
  proofs : 1
  unrelenting : 1
  reigning : 1
  furtherance : 1
  tergiversation : 1
  axe; : 1
  impossible; : 1
  safe; : 1
  denounce : 5
  ominously : 1
  signally : 1
  Defarges; : 1
  wine-shop; : 1
  natives : 1
  eavesdropper : 2
  tempter : 2
  France: : 1
  accepted : 1
  date--he : 1
  vaunting : 1
  there--not : 1
  unsuccessful : 1
  Thrown : 1
  Seeing : 2
  denunciation : 5
  Committee : 1
  Denunciation : 1
  Ace : 3
  mischief : 1
  agent : 1
  treacherous : 1
  Pitt : 1
  Inference : 1
  aristocratic : 3
  republican : 1
  employ : 2
  card : 6
  employers : 1
  represents : 1
  characters : 1
  subornation : 1
  informer : 1
  cards: : 2
  glassful--pushed : 1
  glassful--drank : 1
  you'd : 1
  am; : 1
  hold--Mr : 1
  win : 1
  game; : 1
  winning : 3
  stakes : 1
  --In : 1
  Barsad-- : 1
  to-morrow--you : 1
  depend : 8
  speaker's : 1
  retaken : 2
  arrest : 3
  Barsad's : 1
  Arrested : 1
  consternation : 1
  Struck : 1
  relationship : 1
  abhorrence : 1
  undisguised : 1
  Witness : 1
  name--and : 1
  younger : 8
  fire--perhaps : 1
  cheery : 1
  minutes' : 1
  adequately : 1
  reassurances : 1
  contradicted : 1
  inspiration : 1
  braced : 1
  imploring : 1
  invite : 1
  unprotected; : 1
  mutual : 1
  ungrateful : 1
  negligent : 2
  irresolutely : 1
  company--at : 1
  random : 1
  admirers : 1
  unreserved : 1
  deducing : 1
  misfortunes : 1
  Made : 2
  dared-- : 1
  paler : 1
  cant : 1
  Prisons : 1
  Sheep : 6
  evening; : 1
  negligently : 1
  skirts : 1
  pound : 1
  Lies : 1
  spy--witness : 1
  T'other : 1
  syllables : 2
  calls : 1
  (Which : 1
  question: : 1
  over) : 1
  condescension : 1
  grudging : 1
  culpability : 1
  estrangement : 1
  detain : 2
  estranged : 1
  interrupting : 1
  his-- : 1
  foreigners : 2
  makings : 1
  tear-fraught : 1
  mourned : 1
  do--go : 1
  existence--which : 1
  endanger : 1
  surprised; : 1
  dab : 1
  greeting : 1
  unkind : 1
  pursuits : 1
  followers : 1
  reticule : 1
  exploring : 1
  Pay : 1
  meddlesome : 1
  Brother : 1
  furtive : 1
  tone) : 1
  scream; : 1
  account--was : 1
  Cruncher--though : 1
  protector : 1
  Chaldean : 1
  Hebrew : 1
  voluble : 2
  disciples : 1
  anti-climax : 1
  disappointing : 1
  Republican; : 2
  other; : 3
  occurrence : 1
  vindicating : 1
  assassinated : 1
  scream : 1
  depart : 3
  measuring : 1
  outlandish : 1
  dogs; : 1
  bears : 2
  spencer : 1
  high-shouldered : 1
  resumed; : 1
  journal : 2
  soot-begrimed : 1
  bare-armed : 1
  bare-breasted : 1
  dominoes; : 1
  limp : 1
  smoky : 1
  Slightly : 1
  cavalier : 1
  Sounding : 1
