1.Name of text: WarAndPeace_clean.txt
  Total Non-blank Character Count: 2626774
  Total Blank Character Count: 511698
  Total Character Count: 3138472
  Percentage Blank Character: 16.30% 
  Total Word Count: 562492
  Word/Count Dictionary: 
  delving : 1
  jostle : 1
  larvae : 1
  hurrying: : 1
  nothing--and : 1
  vitality--the : 1
  deadness : 1
  deplored : 1
  villages--had : 1
  overseers : 1
  post-house : 1
  stagecoach : 1
  Everyone--the : 1
  fourths : 1
  Savelich : 6
  rebuild : 4
  artifice : 1
  insurmountably : 1
  francs : 1
  recourse : 4
  heretofore : 1
  impostors : 1
  pecuniary : 1
  acknowledgment : 2
  condemning : 1
  hindrances : 1
  desert : 1
  professions : 1
  Vaska--in : 1
  too--Terenty : 1
  combative : 1
  shrunk : 1
  him--felt : 1
  Orel--where : 1
  listened; : 1
  Previously : 1
  edifices : 1
  ever-changing : 1
  contemplation--he : 1
  therefore--to : 1
  senselessness : 1
  inscrutable : 1
  Universe : 1
  ago: : 1
  ever-manifest : 1
  ever-living : 1
  faith--not : 1
  temporarily--he : 1
  life--no : 1
  find--the : 1
  answer: : 1
  wanted: : 1
  Moscow-- : 1
  inalienable : 1
  freedom--that : 1
  Elets : 1
  Terenty : 4
  learned; : 1
  surviving : 1
  procuring : 1
  Orel : 11
  refixing : 1
  motives : 4
  performer : 1
  there--now : 1
  gradually--just : 1
  reconstructed : 1
  campaign--to : 1
  levying : 1
  conforming : 1
  good-for- : 1
  remember; : 1
  innermost : 1
  long-standing : 1
  whispering; : 1
  waddled : 1
  porter's : 1
  foam-flecked : 1
  suite--Count : 1
  Borisov : 1
  incidentally : 1
  dotage : 1
  dirk : 1
  Kutuzov's; : 1
  sent: : 1
  Greece : 1
  breakers-up : 1
  cutters-off : 1
  seethed : 1
  Vilna--his : 1
  army--who : 1
  heir-- : 1
  affairs--this : 1
  slowness : 2
  spells : 1
  maximum : 3
  admiral : 1
  boots--was : 1
  tatterdemalions : 1
  phrases) : 1
  mislead : 1
  sanction : 1
  wherein : 1
  Anticipation : 1
  plan) : 1
  ships : 1
  service--could : 1
  French--and : 1
  captors' : 1
  -perished : 1
  do- : 1
  prisoners--with : 1
  necessities : 1
  pursuers : 1
  ice-covered : 1
  inertiae-- : 1
  vis : 1
  all--carried : 1
  demanded--namely : 1
  action--the : 1
