1.Name of text: LesMiserables_clean.txt
  Total Non-blank Character Count: 2629426
  Total Blank Character Count: 518230
  Total Character Count: 3147656
  Percentage Blank Character: 16.46% 
  Total Word Count: 562208
  Word/Count Dictionary: 
  convoke : 1
  divinities : 1
  programme: : 1
  scrimp : 1
  splendors; : 1
  prune : 1
  nuptials : 2
  empyrean : 1
  Profit : 2
  Aldobrandini : 1
  bridegroom : 3
  argiraspides; : 1
  Games : 1
  sylphs : 1
  Ventregoulette : 1
  Chanteloup : 1
  chimerical; : 1
  sarpejou : 1
  joyous; : 1
  Royer-Collard : 1
  marries : 1
  chins : 1
  rigadoons : 1
  trousers; : 1
  ballet-dancers : 1
  prude; : 1
  cabbages : 2
  magnificent; : 1
  Indies : 1
  Galland : 1
  spruce : 1
  tinted : 1
  Florian : 1
  warrior; : 1
  Gamacho : 1
  Cujas : 1
  carouse : 1
  wisely; : 1
  bygone : 2
  Nestor : 1
  Iliad : 1
  Helen : 1
  hew : 1
  Hector : 1
  Achilles : 1
  Meriones : 1
  Diomed : 1
  Helen's : 1
  bride's : 3
  fine-spun : 1
  chivalry : 1
  now-a-days : 2
  harping : 1
  Cleanliness' : 1
  'Dirty : 1
  cow-herd : 1
  dung-heaps : 1
  soaped : 1
  band-box : 1
  surfaces : 1
  stingy : 1
  'Change : 1
  gamble : 1
  tapecu : 1
  Thouars : 1
  Sonbise : 1
  Montbazon : 1
  Chabot : 1
  predict : 1
  1787 : 1
  Sarmatians : 1
  Sumptuousness : 1
  Clutch-penny : 1
  marrying : 3
  Curmudgeon : 1
  odorless : 1
  colorless : 1
  clean-shaven : 1
  organize : 1
  dithyrambs : 1
  clock-face : 1
  goodmen : 1
  Sabinus : 1
  Phoebe : 1
  Phoebus : 1
  love--or : 1
  midnight--midday : 1
  Strasburg : 2
  Dry : 1
  colonnade : 1
  Phyllis : 1
  Fetch : 1
  duchess : 1
  waterworks : 1
  Season : 1
  fripperies : 2
  tea-rose : 1
  Moire : 1
  incident: : 1
  knickknacks : 1
  ribbons--he : 1
  gewgaws : 1
  bon-bon : 1
  goldsmith's : 1
  parures : 1
  Alencon : 1
  dauphines : 1
  kerchiefs : 1
  gros : 1
  moires : 1
  lampas : 1
  damasks : 1
  Pekins : 1
  pot-bellied : 1
  paunches : 1
  years--Let : 1
  guipure : 2
  Binche : 2
  unassailable : 1
  renunciations : 1
  kinsman; : 1
  blindfolded : 1
  noticed; : 1
  ninety-four : 1
  legacy : 3
  supervising : 1
  notoriete : 1
  acte : 1
  Fauchelevents : 1
  abounded; : 1
  references : 1
  Inquiry : 1
  scion : 1
  concocted : 1
  bluntly : 1
  she'll : 1
  OWN : 1
  EVERYTHING : 1
  MEN : 2
  suicide--In : 1
  himself--We : 1
  Boulatreulle : 1
  Montreuil-sur-Mer : 1
  box; : 1
  happened--he : 1
  recaptured--which : 1
  Montreuil-sur-Mer; : 1
  necessitating : 1
  NOTARY : 1
  THAN : 1
  RATHER : 1
  FOREST : 1
  MONEY : 1
  V--DEPOSIT : 1
  heeded : 1
  studentesses : 1
  eighty-four : 6
  sixty-eight : 1
  package; : 1
  Minus : 1
  tail[64] : 1
  annuity; : 1
  Adore : 2
  Baroness : 2
  maries[63] : 1
  vrai : 1
  donc : 1
  Alcippe : 1
  revasseries : 1
  cours : 1
  bornant : 1
  Ainsi : 1
  more: : 1
  eighty-year-old : 1
  eburnea : 1
  Turris : 1
  dawn--that's : 1
  musses : 1
  lustily : 1
  Virgin; : 1
  Goose : 1
  needed; : 2
  uncoiffed[62] : 1
  Sainte-Catherine : 2
  Saint-Loup : 1
  Namur : 1
  Birague : 1
  dispensation : 1
  turtle-doves : 2
  Talk : 1
  merciless : 1
  Angel : 2
  callous : 1
  Permission : 1
  Tranchelevent : 4
  acquaintances : 1
  Boulard : 1
  greenish : 1
  octavo : 1
  bearer : 2
  fear-inspiring : 1
  Lovers : 1
  lovers; : 1
  Ashamed : 1
  threshold; : 1
  depict; : 1
  ARM : 2
  SOMETHING : 1
